,itemId,color,guarantee,memory,name,price,ram,site
200,9cb4ef41c404ef5eaa9f1f754e426b3f1646c295, Noir , Garantie 1 an, 4 Go , Clever Lite S41 ,160.0, 512 Mo ,jumia
201,1baaef2725a526631f9b0419f5c7453d8ac52b38, Gold , Garantie 1 an, 4 Go , Clever Lite S41 ,160.0, 512 Mo ,jumia
202,6da5aa5688338b0abd3f472283cf6f9ecbcd1dc6, Rouge , Garantie 1 an, 4 Go , Clever Lite S41 ,160.0, 512 Mo ,jumia
203,b938992f526db7db637461a76b137c9169671b35,, Noir Garantie 1AN, 8 Go , Kylin 50I ,230.0, 1 Go ,jumia
204,a44efa30e2b40432f92f517ab133ce71b4900d6d, Silver , Garantie 1 an, 8 Go , V5 ,239.0, 1 Go ,jumia
205,5cf2f59c7c0c85ceabc9ba81d3b420a3bd0e69e6, Grey , Garantie 1 an, 8 Go , Smartphone Grand Energy ,280.0, Ram 1 Go ,jumia
206,4c44f0b797545b3b39a91c03203766b56ac8924a, Bleu , Garantie 1 An, 16 Go , Galaxy A2 Core ,315.0, 1 Go ,jumia
207,f4fc0423951cb1bd7ee129106c798a392dc878c3, Blanc , Garantie 1 an, 64 Go , Galaxy A30 ,649.0, 4 Go ,jumia
208,96f9e1f170517baf659cb9904cef1ad4d4c9d244, Gold , Garantie 1 An, 64 Go , Iphone 8 Plus ,2539.0, 3 Go ,jumia
209,0f38702a41dca7d8efc537185bd135f1ceaf03c4, Noir , Garantie 1 An, 32 Go , Galaxy J8 ,599.0, 3 Go ,jumia
210,bf7959f2968e0f9f70498ba546d81eadcb5841e6, Gold , Garantie 1 an, 8 Go , V5 ,189.0, 1 Go ,jumia
211,a6f8609cb9abaa9c7fa87f933b09705470582fdd, Noir , Garantie 1an, 128Go , Nova 3i ,769.0, Ram 4 Go ,jumia
212,3c1011a8b1df8f2475c4c92974b17492cc628bf7,, Garantie 1 An,, Smartphone   Z9 ,188.0,,jumia
213,0744084c23a4909e34408411819e51f940cdee1e, Noir , Garantie 1 An, 128 Go , Nova 3i ,789.0, 4 Go ,jumia
214,e12d00fc7ee66a121a59c0656518564aef59a821, Gold , Garantie 1 an, 16Go , Power ,298.0, 1 Go ,jumia
215,740ca06815b94a70de9fdeaa3430d8d08412e086, Silver , Garantie 1 an, 16Go , Power ,299.0, 1 Go ,jumia
216,707a1c9b8117b2fb95c65641828dd43208e46099, Noir , Garantie 1an, 8 Go , Kylin 5.5 ,299.0, 1 Go ,jumia
217,bfa7bd8774b24c5a611a61537f2f0deaa88886b0, Rouge , Garantie 1 an, 8 Go , V8 ,299.0, 1 Go ,jumia
218,15ec171f46778f6df17a522bf9fb37a5971fb549, Noir , Garantie 1 an, 16 Go , Moto C ,309.0, 1 Go ,jumia
219,9962a25d209a03261f1855a4b1d74704877173b4, 8Go , Garantie 1 an, 4G , Smartphone 50D ,335.0, Helium ,jumia
220,4094fb59d4298081d7552c0b462090a282cac044, Bleu , Garantie 1An , 16GB , M9 ,339.0, 2GB ,jumia
221,6de068d88a3cd134b5c027aca22195980c619520, Rouge , Garantie 1 An, 16Go , Moto C plus ,339.0, 1Go ,jumia
222,c7c164bf1bf63cb0eee94c9c5d7e9f8d9febec12, Emerald Green , Garantie 1 an, 128 Go , Y9 Prime 2019 ,819.0, 4 Go ,jumia
223,e331b59ecd086b87a3df4fedafa408097018fced, Bleu , Garantie 1 An, 16 Go , Y6 Prime 2018 ,399.0, 2 Go ,jumia
224,fb17dfa692ecd11ea6757e5c60fbb9401e63a2b8,, Garantie 1 an,, Smartphone  Galaxy J7 Core   4G ,599.0,,jumia
225,e628511ed49ddba939b5c0b0842b83b7a4abcb1c, Bleu , Garantie 1 An, 16 Go , Y5 Prime 2018 ,355.0, 2 Go ,jumia
